what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1381249492636
ws,sysinfo,,,"cocoa",1381249492636
locale,sysinfo,,,"en_US",1381249492636
processors,sysinfo,,,"4",1381249492636
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1381249492636
java.runtime.version,sysinfo,,,"1.6.0_51-b11-457-11M4509",1381249492636
java.specification.name,sysinfo,,,"Java Platform API Specification",1381249492636
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1381249492636
java.specification.version,sysinfo,,,"1.6",1381249492636
java.vendor,sysinfo,,,"Apple Inc.",1381249492636
java.version,sysinfo,,,"1.6.0_51",1381249492636
java.vm.info,sysinfo,,,"mixed mode",1381249492636
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1381249492636
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1381249492636
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1381249492636
java.vm.specification.version,sysinfo,,,"1.0",1381249492636
java.vm.vendor,sysinfo,,,"Apple Inc.",1381249492636
java.vm.version,sysinfo,,,"20.51-b01-457",1381249492636
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381249497002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249508657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249520622
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1381249520651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249524797
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1381249538767
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1381249538773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249539161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1381249539193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249543034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249568511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1381249568540
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381249568710
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381249568784
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1381249569285
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381249570570
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381249570802
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1381249574394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249580528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249591078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1381249591858
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1381249593222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249731184
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249731991
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249733265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249733315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249742691
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1381249745033
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1381249745438
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1381249745672
error,log,,,"Launch configuration StoneMasonKarel references closed project Assignment1",1381249745730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249745982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249747728
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249752907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249753170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249767217
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381249770489
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381249770797
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381249772062
error,log,,,"Launch configuration StoneMasonKarel references closed project Assignment1",1381249774027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249774053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249779500
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381249782027
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249791250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249791500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249797708
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381249799532
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381249802742
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249802776
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249803001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249805038
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381249805305
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381249805306
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381249810280
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381249810280
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381249815771
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381249815807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249824235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249824488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249830229
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381249833663
error,log,,,"The project description file (.project) for 'Assignment1' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1381249842969
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249843255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249845476
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249863272
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249865422
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249865449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249876149
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381249876832
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1381249878166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249884234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249884472
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249887645
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1381249889193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249894186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249897106
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1381249897143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249898743
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249898990
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249901047
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381249911561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381254143895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381254150439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381254150659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381254152794
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381254152861
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381254152861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381254161544
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381254213076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1381254213103
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381254213184
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381254213222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1381254222276
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381254227342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381254227561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381254233382
