what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380999544567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380999555940
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380999575646
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380999588367
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1380999593396
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1380999597347
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380999604709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381002020226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381002133382
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381002211863
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381002211915
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381002215528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381002261620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381002261856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381002264727
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381002264760
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381002264802
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381002264802
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381002264929
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381002268672
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381002268672
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1381002279895
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381002280130
